Date,YR,MN,DY,START ,STOP,STATUS,JDAY,TEMP,TEMPC,DENSITY,LOBSTER,SEX,CL,PL,PLC,PLC2,PL2,INC,INT,NINT,VAR,I
11/6/1995,95,6,11,24,162,1,162,26,-2,4,1,1,50.5,45.7,-1.1,1.118369701,2088.49,4.8,69,138,7.152363014,0.731884058
22/8/1995,95,8,22,162,234,1,234,26,-2,4,1,1,56.5,50.5,3.7,14.0060817,2550.25,6,72,72,8.733732877,0.784722222
14/5/1995,95,5,14,24,134,1,134,30,2,4,2,1,61.2,53.7,6.9,48.1978897,2883.69,7.5,51,110,9.875650685,1.2
21/7/1995,95,7,21,24,202,1,202,28,0,4,3,1,57.8,51.4,4.6,21.5525277,2641.96,6.4,123,178,9.047808219,0.469918699
2/3/1995,95,3,2,24,61,1,61,28,0,4,4,1,51.6,44.8,-2,3.831923701,2007.04,6.8,35,37,6.873424658,1.474285714
17/5/1995,95,5,17,61,137,1,137,28,0,4,4,1,59.6,51.6,4.8,23.4495157,2662.56,8,76,76,9.118356164,0.784210526
2/8/1995,95,8,2,137,214,1,214,28,0,4,4,1,67.6,59.6,12.8,164.9290357,3552.16,8,77,77,12.16493151,0.877922078
12/11/1995,95,11,12,214,316,1,316,28,0,9,4,1,74.6,67.6,20.8,434.4085557,4569.76,7,102,102,15.64986301,0.731372549
10/4/1996,96,4,10,316,466,1,466,26,-2,0,4,1,88.4,74.6,27.8,775.2031357,5565.16,13.8,150,150,19.05876712,0.589333333
7/2/1995,95,2,7,24,38,1,38,26,-2,2,5,1,28.5,24.6,-22.2,490.9561357,605.16,3.9,6,14,2.072465753,4.75
8/4/1995,95,4,8,42,98,1,98,26,-2,2,5a,2,30.5,25.8,-21,439.2180637,665.64,4.7,33,56,2.279589041,0.924242424
27/5/1995,95,5,27,98,147,1,147,26,-2,2,5a,2,35.3,30.5,-16.3,264.3072817,930.25,4.8,49,49,3.185787671,0.720408163
19/7/1995,95,7,19,147,200,1,200,26,-2,2,5a,2,41,35.3,-11.5,131.2749937,1246.09,5.7,53,53,4.267431507,0.773584906
8/10/1995,95,10,8,200,281,1,281,26,-2,9,5a,2,46.8,41,-5.8,33.1491517,1681,5.8,81,81,5.756849315,0.577777778
11/4/1995,95,4,11,24,101,1,101,30,2,4,6,1,54.7,46.9,0.1,0.020297701,2199.61,7.8,44,77,7.532910959,1.243181818
9/7/1995,95,7,8,101,189,1,189,30,2,4,6,1,61.3,54.7,7.9,63.0828297,2992.09,6.6,88,88,10.24688356,0.696590909
3/4/1995,95,4,3,24,93,1,93,30,2,4,7,1,58.6,51.6,4.8,23.4495157,2662.56,7,39,69,9.118356164,1.502564103
20/5/1995,95,5,20,93,140,1,140,30,2,4,7,1,64,58.6,11.8,140.2440957,3433.96,5.4,47,47,11.76013699,1.361702128
28/9/1995,95,9,28,140,271,1,271,30,2,4,7,1,70.7,64,17.2,297.3027717,4096,6.7,131,131,14.02739726,0.539694656
5/12/1995,95,12,5,271,339,1,339,30,2,7,7,1,75,70.7,23.9,573.2418697,4998.49,6.3,68,68,16.16332192,1.102941176
4/4/1996,96,4,4,339,460,1,460,28,0,0,7,1,90.4,82.2,35.4,1256.16868,6756.84,8.2,56,121,23.13986301,1.614285714
29/4/1995,95,4,29,24,119,1,119,28,0,4,8,1,58.5,50.8,4,16.3415637,2580.64,7.7,65,95,8.837808219,0.9
23/7/1995,95,7,23,119,204,1,204,28,0,4,8,1,65.9,58.5,11.7,137.8856017,3422.25,7.4,85,85,11.72003425,0.775294118
10/11/1995,95,11,10,204,314,1,314,28,0,9,8,1,72.7,65.9,19.1,366.4341577,4342.81,6.8,110,110,14.87263699,0.660909091
18/5/1995,95,5,18,24,138,1,138,28,0,4,9,1,55,49.2,2.4,5.965659701,2420.64,5.8,82,114,8.289863014,0.670731707
14/3/1995,95,3,14,24,73,1,73,30,2,4,10,1,49,43.4,-3.4,11.2730077,1883.56,5.6,41,49,6.450547945,1.195121951
5/5/1995,95,5,5,73,125,1,125,30,2,4,10,1,55.5,49,2.2,5.028671701,2401,6.5,52,52,8.22260274,1.067307692
12/7/1995,95,7,12,125,193,1,193,30,2,4,10,1,65.1,55.5,8.7,76.4307817,3080.25,9.6,68,68,10.54880137,0.957352941
